participant_id	stim_no	question_no	numberofanswers	answers	correct_answers	score
sub-04	3	3	1	1	1	1
sub-04	3	4	1	1	1	1
sub-04	3	5	1	1	1	1
sub-04	3	6	1	2	1	0
sub-04	3	7	1	1	1	1
sub-04	3	8	3	2  1	1  2  3	0.666666666666667
sub-04	3	9	1	3	1	0
sub-04	3	10	1	3	1	0
sub-04	3	11	1	3	1	0
sub-04	3	12	1	1	1	1
sub-04	4	1	3	1  2  3	1  2  3	1
sub-04	4	2	1	4	1	0
sub-04	4	3	1	4	1	0
sub-04	4	4	1	1	1	1
sub-04	4	5	1	2	1	0
sub-04	4	6	1	1	1	1
sub-04	4	7	2	4  1  2	1  2	1
sub-04	4	8	1	4	1	0
sub-04	4	9	1	1	1	1
sub-04	4	10	1	1	1	1
sub-04	4	11	1	1	1	1
sub-04	4	12	1	3	1	0
sub-04	5	1	3	2  3  1	1  2  3	1
sub-04	5	2	1	1	1	1
sub-04	5	3	1	1	1	1
sub-04	5	4	1	1	1	1
sub-04	5	5	1	1	1	1
sub-04	5	6	1	2	1	0
sub-04	5	7	2	2  4	1  2	0.5
sub-04	5	8	1	3	1	0
sub-04	5	9	1	4	1	0
sub-04	5	10	1	3	1	0
sub-04	5	11	2	1  2	1  2	1
sub-04	5	12	2	1	1  2	0.5
sub-04	6	1	1	1	1	1
sub-04	6	2	3	1  4  3  2	1  2  3	1
sub-04	6	3	1	1	1	1
sub-04	6	4	1	1	1	1
sub-04	6	5	1	1	1	1
sub-04	6	6	1	1	1	1
sub-04	6	7	2	3  2  1	1  2	1
sub-04	6	8	1	2	1	0
sub-04	6	9	1	1	1	1
sub-04	6	10	1	1	1	1
sub-04	6	11	2	2	1  2	0.5
sub-04	6	12	2	4  1	1  2	0.5
sub-05	1	1	1	4	1	0
sub-05	1	2	1	1	1	1
sub-05	1	3	3	4	1  2  3	0
sub-05	1	4	1	1	1	1
sub-05	1	5	1	4	1	0
sub-05	1	6	1	3	1	0
sub-05	1	7	1	2	1	0
sub-05	1	8	1	2	1	0
sub-05	1	9	2	2	1  2	0.5
sub-05	1	10	1	2	1	0
sub-05	1	11	3	3	1  2  3	0.333333333333333
sub-05	1	12	4	1	1  2  3  4	0.25
sub-05	2	1	1	1	1	1
sub-05	2	2	3	2  1	1  2  3	0.666666666666667
sub-05	2	3	1	3	1	0
sub-05	2	4	1	2	1	0
sub-05	2	5	1	2	1	0
sub-05	2	6	1	1	1	1
sub-05	2	7	1	1	1	1
sub-05	2	8	2	4	1  2	0
sub-05	2	9	1	4	1	0
sub-05	2	10	1	1	1	1
sub-05	2	11	1	3	1	0
sub-05	2	12	3	3	1  2  3	0.333333333333333
sub-05	3	1	1	2	1	0
sub-05	3	2	3	3	1  2  3	0.333333333333333
sub-05	3	3	1	1	1	1
sub-05	3	4	1	2	1	0
sub-05	3	5	1	2	1	0
sub-05	3	6	1	1	1	1
sub-05	3	7	1	1	1	1
sub-05	3	8	3	1	1  2  3	0.333333333333333
sub-05	3	9	1	1	1	1
sub-05	3	10	1	3	1	0
sub-05	3	11	1	3	1	0
sub-05	3	12	1	2	1	0
sub-05	4	1	3	3	1  2  3	0.333333333333333
sub-05	4	2	1	4	1	0
sub-05	4	3	1	3	1	0
sub-05	4	4	1	2	1	0
sub-05	4	5	1	4	1	0
sub-05	4	6	1	4	1	0
sub-05	4	7	2	4	1  2	0
sub-05	4	8	1	1	1	1
sub-05	4	9	1	3	1	0
sub-05	4	10	1	4	1	0
sub-05	4	11	1	2	1	0
sub-05	4	12	1	3	1	0
sub-05	5	1	3	3	1  2  3	0.333333333333333
sub-05	5	2	1	1	1	1
sub-05	5	3	1	3	1	0
sub-05	5	4	1	3	1	0
sub-05	5	5	1	3	1	0
sub-05	5	6	1	1	1	1
sub-05	5	7	2	1  2	1  2	1
sub-05	5	8	1	2	1	0
sub-05	5	9	1	3	1	0
sub-05	5	10	1	4	1	0
sub-05	5	11	2	4	1  2	0
sub-05	5	12	2	2	1  2	0.5
sub-05	6	1	1	3	1	0
sub-05	6	2	3	2	1  2  3	0.333333333333333
sub-05	6	3	1	3	1	0
sub-05	6	4	1	2	1	0
sub-05	6	5	1	4	1	0
sub-05	6	6	1	1	1	1
sub-05	6	7	2	4	1  2	0
sub-05	6	8	1	2	1	0
sub-05	6	9	1	4	1	0
sub-05	6	10	1	3	1	0
sub-05	6	11	2	4	1  2	0
sub-05	6	12	2	1	1  2	0.5
sub-06	1	1	1	4	1	0
sub-06	1	2	1	4	1	0
sub-06	1	3	3	4  1	1  2  3	0.333333333333333
sub-06	1	4	1	2	1	0
sub-06	1	5	1	1	1	1
sub-06	1	6	1	1	1	1
sub-06	1	7	1	3	1	0
sub-06	1	8	1	1	1	1
sub-06	1	9	2	4  2	1  2	0.5
sub-06	1	10	1	3	1	0
sub-06	1	11	3	2	1  2  3	0.333333333333333
sub-06	1	12	4	4	1  2  3  4	0.25
sub-06	2	1	1	1	1	1
sub-06	2	2	3	1	1  2  3	0.333333333333333
sub-06	2	3	1	1	1	1
sub-06	2	4	1	2	1	0
sub-06	2	5	1	3	1	0
sub-06	2	6	1	4	1	0
sub-06	2	7	1	1	1	1
sub-06	2	8	2	4  1  3	1  2	0.5
sub-06	2	9	1	4	1	0
sub-06	2	10	1	1	1	1
sub-06	2	11	1	1	1	1
sub-06	2	12	3	3	1  2  3	0.333333333333333
sub-06	3	1	1	4	1	0
sub-06	3	2	3	1	1  2  3	0.333333333333333
sub-06	3	3	1	2	1	0
sub-06	3	4	1	2	1	0
sub-06	3	5	1	3	1	0
sub-06	3	6	1	2	1	0
sub-06	3	7	1	2	1	0
sub-06	3	8	3	1	1  2  3	0.333333333333333
sub-06	3	9	1	1	1	1
sub-06	3	10	1	1	1	1
sub-06	3	11	1	1	1	1
sub-06	3	12	1	3	1	0
sub-06	4	1	3	3	1  2  3	0.333333333333333
sub-06	4	2	1	4	1	0
sub-06	4	3	1	4	1	0
sub-06	4	4	1	2	1	0
sub-06	4	5	1	4	1	0
sub-06	4	6	1	1	1	1
sub-06	4	7	2	4  3	1  2	0
sub-06	4	8	1	1	1	1
sub-06	4	9	1	4	1	0
sub-06	4	10	1	1	1	1
sub-06	4	11	1	4	1	0
sub-06	4	12	1	1	1	1
sub-06	5	1	3	1	1  2  3	0.333333333333333
sub-06	5	2	1	1	1	1
sub-06	5	3	1	3	1	0
sub-06	5	4	1	2	1	0
sub-06	5	5	1	1	1	1
sub-06	5	6	1	1	1	1
sub-06	5	7	2	2  4  1	1  2	1
sub-06	5	8	1	2	1	0
sub-06	5	9	1	1	1	1
sub-06	5	10	1	3	1	0
sub-06	5	11	2	1	1  2	0.5
sub-06	5	12	2	2	1  2	0.5
sub-06	6	1	1	1	1	1
sub-06	6	2	3	1  3  2	1  2  3	1
sub-06	6	3	1	1	1	1
sub-06	6	4	1	1	1	1
sub-06	6	5	1	1	1	1
sub-06	6	6	1	1	1	1
sub-06	6	7	2	4	1  2	0
sub-06	6	8	1	2	1	0
sub-06	6	9	1	4	1	0
sub-06	6	10	1	2	1	0
sub-06	6	11	2	3	1  2	0
sub-06	6	12	2	4	1  2	0
sub-07	1	1	1	2	1	0
sub-07	1	2	1	3	1	0
sub-07	1	3	3	2  1	1  2  3	0.666666666666667
sub-07	1	4	1	2	1	0
sub-07	1	5	1	1	1	1
sub-07	1	6	1	3	1	0
sub-07	1	7	1	1	1	1
sub-07	1	8	1	1	1	1
sub-07	1	9	2	1  4	1  2	0.5
sub-07	1	10	1	1	1	1
sub-07	1	11	3	1	1  2  3	0.333333333333333
sub-07	1	12	4	2  4  3  1	1  2  3  4	1
sub-07	2	1	1	1	1	1
sub-07	2	2	3	1	1  2  3	0.333333333333333
sub-07	2	3	1	1	1	1
sub-07	2	4	1	2	1	0
sub-07	2	5	1	4	1	0
sub-07	2	6	1	1	1	1
sub-07	2	7	1	1	1	1
sub-07	2	8	2	3  4	1  2	0
sub-07	2	9	1	4	1	0
sub-07	2	10	1	1	1	1
sub-07	2	11	1	1	1	1
sub-07	2	12	3	1  4  2	1  2  3	0.666666666666667
sub-07	3	1	1	1	1	1
sub-07	3	2	3	3  2  4  1	1  2  3	1
sub-07	3	3	1	1	1	1
sub-07	3	4	1	1	1	1
sub-07	3	5	1	3	1	0
sub-07	3	6	1	4	1	0
sub-07	3	7	1	1	1	1
sub-07	3	8	3	2  1	1  2  3	0.666666666666667
sub-07	3	9	1	1	1	1
sub-07	3	10	1	1	1	1
sub-07	3	11	1	1	1	1
sub-07	3	12	1	4	1	0
sub-07	4	1	3	1  3	1  2  3	0.666666666666667
sub-07	4	2	1	4	1	0
sub-07	4	3	1	1	1	1
sub-07	4	4	1	1	1	1
sub-07	4	5	1	1	1	1
sub-07	4	6	1	4	1	0
sub-07	4	7	2	1	1  2	0.5
sub-07	4	8	1	4	1	0
sub-07	4	9	1	1	1	1
sub-07	4	10	1	1	1	1
sub-07	4	11	1	1	1	1
sub-07	4	12	1	1	1	1
sub-07	5	1	3	3  2	1  2  3	0.666666666666667
sub-07	5	2	1	3	1	0
sub-07	5	3	1	3	1	0
sub-07	5	4	1	2	1	0
sub-07	5	5	1	2	1	0
sub-07	5	6	1	2	1	0
sub-07	5	7	2	1  2  4	1  2	1
sub-07	5	8	1	1	1	1
sub-07	5	9	1	2	1	0
sub-07	5	10	1	4	1	0
sub-07	5	11	2	2  3  1	1  2	1
sub-07	5	12	2	2  1	1  2	1
sub-07	6	1	1	1	1	1
sub-07	6	2	3	1  2  4  3	1  2  3	1
sub-07	6	3	1	1	1	1
sub-07	6	4	1	1	1	1
sub-07	6	5	1	3	1	0
sub-07	6	6	1	1	1	1
sub-07	6	7	2	3  1	1  2	0.5
sub-07	6	8	1	1	1	1
sub-07	6	9	1	1	1	1
sub-07	6	10	1	1	1	1
sub-07	6	11	2	2  1	1  2	1
sub-07	6	12	2	4	1  2	0
sub-08	1	1	1	1	1	1
sub-08	1	2	1	1	1	1
sub-08	1	3	3	1  4	1  2  3	0.333333333333333
sub-08	1	4	1	2	1	0
sub-08	1	5	1	1	1	1
sub-08	1	6	1	1	1	1
sub-08	1	7	1	1	1	1
sub-08	1	8	1	1	1	1
sub-08	1	9	2	1	1  2	0.5
sub-08	1	10	1	3	1	0
sub-08	1	11	3	1	1  2  3	0.333333333333333
sub-08	1	12	4	4  2  3	1  2  3  4	0.75
sub-08	2	1	1	1	1	1
sub-08	2	2	3	3  1	1  2  3	0.666666666666667
sub-08	2	3	1	4	1	0
sub-08	2	4	1	2	1	0
sub-08	2	5	1	1	1	1
sub-08	2	6	1	1	1	1
sub-08	2	7	1	3	1	0
sub-08	2	8	2	3	1  2	0
sub-08	2	9	1	1	1	1
sub-08	2	10	1	1	1	1
sub-08	2	11	1	1	1	1
sub-08	2	12	3	1  3  4	1  2  3	0.666666666666667
sub-08	3	1	1	2	1	0
sub-08	3	2	3	2  3  4  1	1  2  3	1
sub-08	3	3	1	2	1	0
sub-08	3	4	1	2	1	0
sub-08	3	5	1	2	1	0
sub-08	3	6	1	1	1	1
sub-08	3	7	1	2	1	0
sub-08	3	8	3	1  2	1  2  3	0.666666666666667
sub-08	3	9	1	1	1	1
sub-08	3	10	1	1	1	1
sub-08	3	11	1	1	1	1
sub-08	3	12	1	2	1	0
sub-08	4	1	3	1	1  2  3	0.333333333333333
sub-08	4	2	1	4	1	0
sub-08	4	3	1	1	1	1
sub-08	4	4	1	1	1	1
sub-08	4	5	1	4	1	0
sub-08	4	6	1	1	1	1
sub-08	4	7	2	1	1  2	0.5
sub-08	4	8	1	1	1	1
sub-08	4	9	1	3	1	0
sub-08	4	10	1	1	1	1
sub-08	4	11	1	1	1	1
sub-08	4	12	1	3	1	0
sub-08	5	1	3	3	1  2  3	0.333333333333333
sub-08	5	2	1	3	1	0
